"site","y","x"
"Seeberg, Burgäschisee-Süd",47.155048,7.666646
"Sion, Petit Chasseur II",46.229076,7.359417
"Yverdon",46.766666666666,6.6333333333334
"Yverdon, Avenue des Sports",46.766666666666,6.6333333333334
"Twann",47.094201704265,7.1569919586181
"Zürich, Kleine Hafner",47.366095,8.544198
"Thayngen, Weier",47.75,8.7
"Egolzwil 3",47.184110641479,8.0031781196594
"Arbon, Bleiche 5",47.5166667,9.4333333000004
"Rances, Champ Vully",46.760679138718,6.529655456543
"Delley-Portalban",46.912523269653,6.9620130062103
"Hünenberg-Chämleten, Strandbad",47.17536178241,8.4249687194824
"Auvernier, La Saunerie",46.975450381907,6.8790292739868
"Niederwil",47.566666666667,8.9
"Wädenswil",47.226832015969,8.6687040734265
"Zürich, Mozartstrasse",47.365106,8.546308
"Zürich, Dufourstrasse",47.359496,8.551691
"Greifensee-Storen",47.283333333333,8.6333333333333
"Männedorf",47.256862242714,8.6989265461362
"Thielle-Mottaz (Neuchatel)",47.011074,7.029448
"Hof, Cham",47.21572,8.457727
"Zürich, Wollishofen",47.343955,8.53012
"Egolzwil 4",47.184110641479,8.0031781196594
"Feldbach",47.239501,8.786852
"Feldmeilen-Vorderfeld",47.275881,8.621006
"Meilen-Obermeilen",47.286187,8.658643
"Zürich-Bauschanze",47.367773,8.542439
"Hochdorf-Baldegg",47.180846,8.273706
"Alle, Noir Bois",47.4284,7.12621
"Bavois-en Raillon",46.68401,6.56588
"Egolzwil 4",47.1852,8.00669
"Egolzwil 5",47.1852,8.00669
"Sion Petit-Chasseur I",46.2328,7.35199
"Sion-Avenue Ritz",46.2352,7.35828
"Sion, Planta",46.229076,7.359417
"Genf, Saint-Gervais",46.20707182001,6.1419153213501
"Birsmatten, Basisgrotte",47.444967,7.550007
"Sion, Petit Chasseur I",46.229076,7.359417
"Auvernier, Port",46.975450381907,6.8790292739868
"Crestis, Tamins",46.878499,9.4128230000004
"Arbon, Bleiche 4",47.5166667,9.4333333000004
"Vallon des Vaux",46.737978,6.858859
"Vinelz",47.032636642456,7.1192786693573
"Schenkon",47.180994033814,8.1337304115295
"Maur",47.336088180542,8.659963130951
"Zürich, Großer Hafner",47.362913,8.542964
"Auvernier, Tranchée du Tram",46.975450381907,6.8790292739868
"Bavois-en Raillon VD",46.686107,6.565137
"Arbon, Bleiche 3",47.5166667,9.4333333000004
"Arbon, Bleiche 1",47.5166667,9.4333333000004
"Freienbach",47.205342125896,8.7584209442139
"Uetikon",47.264410711941,8.6792480883107
"Affoltern, Zwillikon-Weid",47.29308587398,8.43080520629889
"Seeberg-Burgaeschisee-Sued",47.17,7.669
"Vex - Le Château",46.205,7.4067
"St. Léonard",46.25,7.4333333333334
"Wauwilermoos",47.184568,8.021002
"Zürich, Utoquai",47.365303,8.545614
"Pfyn",47.566666666667,8.9333333333333
"Muntelier",46.942609786988,7.1356952190399
"Fällanden",47.371693791913,8.6386906343672
"Saint-Léonard - Les Bâtiments",46.25,7.41667
"Zürich - AKAD/Pressehaus",47.364,8.548
"Sion, Sous-le-Scex",46.229076,7.359417
